<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.01.06	00:00:00	1.32211	1.32601	1.32161	1.32527	26021	19941270000	0
2017.01.06	04:00:00	1.32528	1.32626	1.32452	1.32591	24416	13035193000	9
2017.01.06	08:00:00	1.32593	1.32676	1.32441	1.32460	20432	14316419000	9
2017.01.06	12:00:00	1.32461	1.32659	1.31786	1.32119	31057	21486808000	9
2017.01.06	16:00:00	1.32123	1.32430	1.31769	1.32377	45494	29631257000	9
2017.01.06	20:00:00	1.32378	1.32552	1.32295	1.32346	19460	16026026000	9
2017.01.09	00:00:00	1.32394	1.32557	1.32253	1.32284	14619	13958940000	0
2017.01.09	04:00:00	1.32284	1.32618	1.32262	1.32568	17188	10161372000	9
2017.01.09	08:00:00	1.32567	1.32686	1.32304	1.32486	20257	17041954000	9
2017.01.09	12:00:00	1.32487	1.32768	1.32372	1.32393	27660	19619298000	9
2017.01.09	16:00:00	1.32397	1.32609	1.31965	1.32103	34352	22605092000	9
2017.01.09	20:00:00	1.32102	1.32351	1.32075	1.32144	16413	11601704000	9
2017.01.10	00:00:00	1.32167	1.32353	1.32087	1.32341	14160	10664696000	0
2017.01.10	04:00:00	1.32334	1.32357	1.31969	1.32142	22773	13464395000	9
2017.01.10	08:00:00	1.32143	1.32408	1.32091	1.32282	24499	16577442000	9
2017.01.10	12:00:00	1.32282	1.32569	1.32140	1.32187	25857	18260047000	9
2017.01.10	16:00:00	1.32187	1.32227	1.31915	1.32078	38682	25920634000	9
2017.01.10	20:00:00	1.32080	1.32441	1.32073	1.32304	16119	12005177000	9
2017.01.11	00:00:00	1.32269	1.32515	1.32212	1.32440	14914	13266871000	0
2017.01.11	04:00:00	1.32440	1.32540	1.32390	1.32393	17355	12665013000	9
2017.01.11	08:00:00	1.32397	1.32407	1.32150	1.32336	22350	16238533000	9
2017.01.11	12:00:00	1.32335	1.32535	1.32193	1.32334	27366	18896873000	9
2017.01.11	16:00:00	1.32333	1.32939	1.31827	1.31882	59961	39739235000	9
2017.01.11	20:00:00	1.31882	1.31944	1.31187	1.31799	47907	34465416000	9
2017.01.12	00:00:00	1.31777	1.31849	1.31569	1.31609	21064	16608851000	0
2017.01.12	04:00:00	1.31609	1.31621	1.31253	1.31316	22331	15822201000	9
2017.01.12	08:00:00	1.31317	1.31351	1.30290	1.30438	34737	24093379000	9
2017.01.12	12:00:00	1.30439	1.30909	1.30410	1.30907	35222	24315344000	9
2017.01.12	16:00:00	1.30907	1.31492	1.30827	1.31241	43300	25280404000	9
2017.01.12	20:00:00	1.31242	1.31439	1.31188	1.31431	21322	14651441000	9
2017.01.13	00:00:00	1.31418	1.31567	1.31335	1.31390	14950	8267532000	0
2017.01.13	04:00:00	1.31391	1.31674	1.31388	1.31531	16710	9500153000	9
2017.01.13	08:00:00	1.31531	1.31560	1.31320	1.31494	28269	18217348000	9
2017.01.13	12:00:00	1.31493	1.31533	1.31106	1.31354	33756	22892952000	9
2017.01.13	16:00:00	1.31352	1.31631	1.31125	1.31252	45355	29592602000	9
2017.01.13	20:00:00	1.31252	1.31430	1.31110	1.31110	17000	12768594000	9
2017.01.16	00:00:00	1.31301	1.31427	1.31179	1.31389	14766	10721754000	0
2017.01.16	04:00:00	1.31390	1.31459	1.31300	1.31359	14864	10002492000	9
2017.01.16	08:00:00	1.31358	1.31543	1.31243	1.31436	28096	20484122000	9
2017.01.16	12:00:00	1.31436	1.31636	1.31282	1.31589	21158	16516880000	9
2017.01.16	16:00:00	1.31589	1.31760	1.31406	1.31552	17838	13346520000	9
2017.01.16	20:00:00	1.31552	1.31874	1.31440	1.31722	11855	7374385000	9
2017.01.17	00:00:00	1.31719	1.31890	1.31571	1.31815	11280	7036378000	0
2017.01.17	04:00:00	1.31816	1.31821	1.31045	1.31111	19053	11610366000	9
2017.01.17	08:00:00	1.31111	1.31216	1.30348	1.30459	35797	21576882000	9
2017.01.17	12:00:00	1.30460	1.30776	1.30181	1.30509	48375	29990119000	9
2017.01.17	16:00:00	1.30508	1.30740	1.30317	1.30540	45839	28159294000	9
2017.01.17	20:00:00	1.30541	1.30632	1.30370	1.30400	19296	11593244000	9
2017.01.18	00:00:00	1.30401	1.30714	1.30307	1.30657	14153	10150075000	0
2017.01.18	04:00:00	1.30657	1.30768	1.30623	1.30732	20048	14501260000	9
2017.01.18	08:00:00	1.30733	1.30778	1.30487	1.30670	23296	15247814000	9
2017.01.18	12:00:00	1.30670	1.31199	1.30670	1.31116	26082	19314394000	9
2017.01.18	16:00:00	1.31116	1.32348	1.30552	1.32191	46292	31386650000	9
2017.01.18	20:00:00	1.32190	1.32708	1.32076	1.32679	32567	19426680000	9
2017.01.19	00:00:00	1.32678	1.32714	1.32519	1.32663	17805	12788869000	0
2017.01.19	04:00:00	1.32662	1.32699	1.32558	1.32577	20503	15547926000	9
2017.01.19	08:00:00	1.32580	1.32863	1.32545	1.32818	28465	19886677000	9
2017.01.19	12:00:00	1.32819	1.33232	1.32641	1.32818	37360	28384011000	9
2017.01.19	16:00:00	1.32818	1.33529	1.32734	1.33334	51430	35462487000	9
2017.01.19	20:00:00	1.33334	1.33431	1.33044	1.33165	25584	18484848000	9
2017.01.20	00:00:00	1.33131	1.33302	1.32850	1.32873	16220	9319949000	9
2017.01.20	04:00:00	1.32869	1.33083	1.32836	1.33059	17898	12197098000	9
2017.01.20	08:00:00	1.33061	1.33441	1.32903	1.33373	26783	19379916000	9
2017.01.20	12:00:00	1.33372	1.33871	1.33351	1.33517	31469	22176547000	9
2017.01.20	16:00:00	1.33518	1.33776	1.33239	1.33527	49000	32527816000	9
2017.01.20	20:00:00	1.33528	1.33544	1.33055	1.33122	29694	23354535000	9
2017.01.23	00:00:00	1.33139	1.33290	1.32843	1.32893	19315	13203177000	9
2017.01.23	04:00:00	1.32892	1.32992	1.32804	1.32814	20346	19434183000	9
2017.01.23	08:00:00	1.32813	1.32964	1.32678	1.32880	27561	20764297000	9
2017.01.23	12:00:00	1.32879	1.33199	1.32682	1.33081	28679	19575941000	9
2017.01.23	16:00:00	1.33080	1.33345	1.32691	1.32691	43938	24421811000	9
2017.01.23	20:00:00	1.32689	1.32771	1.32207	1.32345	21983	16552403000	9
2017.01.24	00:00:00	1.32320	1.32433	1.32191	1.32253	19941	12842178000	0
2017.01.24	04:00:00	1.32254	1.32372	1.32117	1.32318	21112	14235868000	9
2017.01.24	08:00:00	1.32318	1.32718	1.32282	1.32588	25355	19369020000	9
2017.01.24	12:00:00	1.32590	1.32989	1.32539	1.32650	25773	17801302000	9
2017.01.24	16:00:00	1.32651	1.32656	1.31054	1.31377	42882	28369487000	9
2017.01.24	20:00:00	1.31377	1.31709	1.31244	1.31573	21461	14442294000	9
2017.01.25	00:00:00	1.31531	1.31630	1.31379	1.31396	14192	8393726000	0
2017.01.25	04:00:00	1.31397	1.31413	1.31212	1.31350	18844	13840263000	9
2017.01.25	08:00:00	1.31350	1.31593	1.31196	1.31260	25439	15999710000	9
2017.01.25	12:00:00	1.31261	1.31367	1.30864	1.30977	30338	20486543000	9
2017.01.25	16:00:00	1.30976	1.31320	1.30625	1.30656	39802	24991573000	9
2017.01.25	20:00:00	1.30655	1.30902	1.30607	1.30696	22861	16145150000	9
2017.01.26	00:00:00	1.30702	1.30780	1.30529	1.30571	16734	12678210000	0
2017.01.26	04:00:00	1.30571	1.30705	1.30546	1.30666	14378	10493361000	9
2017.01.26	08:00:00	1.30665	1.31079	1.30638	1.31001	24797	17930673000	9
2017.01.26	12:00:00	1.31000	1.31302	1.30964	1.31113	30675	17199708000	9
2017.01.26	16:00:00	1.31113	1.31254	1.30807	1.30937	37147	20114585000	9
2017.01.26	20:00:00	1.30940	1.31222	1.30827	1.30873	24162	15071810000	9
2017.01.27	00:00:00	1.30866	1.31128	1.30828	1.30995	18411	11794586000	0
2017.01.27	04:00:00	1.30993	1.31199	1.30931	1.31137	14425	10287148000	9
2017.01.27	08:00:00	1.31141	1.31300	1.31005	1.31047	22843	16126389000	9
2017.01.27	12:00:00	1.31050	1.31209	1.30938	1.30999	28500	15875248000	9
2017.01.27	16:00:00	1.30998	1.31354	1.30890	1.31345	35920	22145687000	9
2017.01.27	20:00:00	1.31346	1.31532	1.31262	1.31496	14785	9324819000	9
2017.01.30	00:00:00	1.31296	1.31406	1.31210	1.31258	22254	18628098000	0
2017.01.30	04:00:00	1.31258	1.31381	1.31208	1.31367	21277	18072100000	9
2017.01.30	08:00:00	1.31367	1.31597	1.31278	1.31471	22454	16742497000	9
2017.01.30	12:00:00	1.31471	1.31687	1.31195	1.31206	30334	21471549000	9
2017.01.30	16:00:00	1.31207	1.31468	1.30761	1.30977	35974	24244153000	9
2017.01.30	20:00:00	1.30976	1.31252	1.30961	1.31154	17946	13168067000	9
2017.01.31	00:00:00	1.31172	1.31195	1.30979	1.31062	15699	10775922000	0
2017.01.31	04:00:00	1.31064	1.31079	1.30901	1.30932	22724	13742312000	10
2017.01.31	08:00:00	1.30932	1.31233	1.30905	1.31139	25991	17733424000	9
2017.01.31	12:00:00	1.31142	1.31198	1.30348	1.30432	37363	25801746000	9
2017.01.31	16:00:00	1.30430	1.30501	1.29682	1.30375	49053	30435289000	9
2017.01.31	20:00:00	1.30375	1.30421	1.30092	1.30285	22770	15294058000	9
2017.02.01	00:00:00	1.30249	1.30743	1.30239	1.30678	16553	11717268000	0
2017.02.01	04:00:00	1.30679	1.30909	1.30671	1.30799	17834	13698438000	9
2017.02.01	08:00:00	1.30800	1.30928	1.30671	1.30768	27066	18536501000	9
2017.02.01	12:00:00	1.30767	1.30919	1.30423	1.30748	29371	19468686000	9
2017.02.01	16:00:00	1.30751	1.30968	1.30600	1.30955	37055	22599890000	9
2017.02.01	20:00:00	1.30952	1.31021	1.30346	1.30476	35026	23636457000	9
2017.02.02	00:00:00	1.30384	1.30510	1.30147	1.30191	23275	17292436000	9
2017.02.02	04:00:00	1.30191	1.30250	1.29987	1.30056	25381	19790133000	9
2017.02.02	08:00:00	1.30058	1.30271	1.29816	1.29882	26927	19413606000	9
2017.02.02	12:00:00	1.29883	1.30125	1.29799	1.29949	33056	22736192000	9
2017.02.02	16:00:00	1.29948	1.30335	1.29890	1.30258	35481	27245622000	9
2017.02.02	20:00:00	1.30257	1.30321	1.30139	1.30239	12975	10605875000	9
2017.02.03	00:00:00	1.30237	1.30357	1.30207	1.30221	14995	9464659000	0
2017.02.03	04:00:00	1.30221	1.30392	1.30212	1.30284	25216	19842808000	9
2017.02.03	08:00:00	1.30282	1.30388	1.30226	1.30355	22237	18026162000	9
2017.02.03	12:00:00	1.30355	1.30764	1.30105	1.30217	27378	21524958000	9
2017.02.03	16:00:00	1.30218	1.30381	1.29918	1.30010	35334	25806624000	9
2017.02.03	20:00:00	1.30011	1.30375	1.29993	1.30208	20406	14755222000	9
2017.02.06	00:00:00	1.30236	1.30316	1.30129	1.30224	14764	11879507000	0
2017.02.06	04:00:00	1.30221	1.30241	1.30102	1.30190	14044	13877950000	9
2017.02.06	08:00:00	1.30193	1.30350	1.30111	1.30114	20177	13098702000	9
2017.02.06	12:00:00	1.30112	1.30856	1.30066	1.30769	29372	19586145000	9
2017.02.06	16:00:00	1.30769	1.31351	1.30684	1.31140	35251	24994092000	9
2017.02.06	20:00:00	1.31140	1.31210	1.30754	1.30835	19850	15064054000	9
2017.02.07	00:00:00	1.30781	1.31010	1.30734	1.30916	12941	7758956000	0
2017.02.07	04:00:00	1.30916	1.31088	1.30775	1.31044	17780	11261415000	9
2017.02.07	08:00:00	1.31047	1.32027	1.31032	1.31963	25092	18706832000	9
2017.02.07	12:00:00	1.31962	1.32116	1.31637	1.31689	27182	20179983000	9
2017.02.07	16:00:00	1.31691	1.31820	1.31513	1.31762	32197	22939231000	9
2017.02.07	20:00:00	1.31762	1.31915	1.31563	1.31820	16631	12386095000	9
2017.02.08	00:00:00	1.31790	1.32000	1.31719	1.31784	14606	10603736000	0
2017.02.08	04:00:00	1.31784	1.31823	1.31699	1.31794	16147	11564414000	9
2017.02.08	08:00:00	1.31795	1.31917	1.31576	1.31644	22359	18107316000	9
2017.02.08	12:00:00	1.31642	1.31664	1.31418	1.31486	22426	16967520000	9
2017.02.08	16:00:00	1.31487	1.31769	1.31376	1.31596	38301	28423709000	9
2017.02.08	20:00:00	1.31595	1.31714	1.31341	1.31431	18874	13890492000	9
2017.02.09	00:00:00	1.31422	1.31613	1.31379	1.31592	10934	7362762000	0
2017.02.09	04:00:00	1.31592	1.31678	1.31436	1.31548	12779	9933674000	9
2017.02.09	08:00:00	1.31545	1.31573	1.31125	1.31188	16630	12889402000	9
2017.02.09	12:00:00	1.31188	1.31354	1.31047	1.31131	21337	17820888000	9
2017.02.09	16:00:00	1.31131	1.31478	1.30939	1.31151	37712	27559654000	9
2017.02.09	20:00:00	1.31148	1.31484	1.31128	1.31436	16692	12470507000	9
2017.02.10	00:00:00	1.31425	1.31477	1.31305	1.31340	13074	7841655000	9
2017.02.10	04:00:00	1.31342	1.31411	1.31206	1.31392	12802	12116818000	9
2017.02.10	08:00:00	1.31392	1.31577	1.31271	1.31424	19943	16128130000	9
2017.02.10	12:00:00	1.31426	1.31540	1.30666	1.30949	22066	16539377000	9
2017.02.10	16:00:00	1.30948	1.30998	1.30625	1.30793	33744	27773419000	9
2017.02.10	20:00:00	1.30792	1.30973	1.30680	1.30730	20992	17034617000	9
2017.02.13	00:00:00	1.30808	1.31208	1.30788	1.30989	13257	10261097000	0
2017.02.13	04:00:00	1.30990	1.31067	1.30875	1.30896	11057	9520426000	9
2017.02.13	08:00:00	1.30895	1.31049	1.30727	1.31042	19638	15933283000	9
2017.02.13	12:00:00	1.31042	1.31116	1.30757	1.31068	20013	17476318000	9
2017.02.13	16:00:00	1.31068	1.31143	1.30661	1.30781	25500	19124425000	9
2017.02.13	20:00:00	1.30778	1.30825	1.30536	1.30705	15599	12955821000	9
2017.02.14	00:00:00	1.30707	1.30769	1.30618	1.30760	9709	6475008000	0
2017.02.14	04:00:00	1.30757	1.30769	1.30454	1.30476	9323	6886180000	9
2017.02.14	08:00:00	1.30477	1.30594	1.30370	1.30468	18899	15444278000	9
2017.02.14	12:00:00	1.30468	1.30536	1.30242	1.30379	20662	18018037000	9
2017.02.14	16:00:00	1.30379	1.31066	1.30345	1.30792	41281	30350214000	9
2017.02.14	20:00:00	1.30793	1.30855	1.30550	1.30731	18114	14571380000	9
2017.02.15	00:00:00	1.30703	1.30950	1.30677	1.30819	13056	9980122000	0
2017.02.15	04:00:00	1.30820	1.30892	1.30651	1.30706	10774	8995245000	9
