<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.12.01	00:00:00	1.29968	1.30078	1.29967	1.30027	90	0	9
2020.12.01	00:15:00	1.30027	1.30055	1.30003	1.30005	70	0	22
2020.12.01	00:30:00	1.30005	1.30040	1.29997	1.30006	105	0	3
2020.12.01	00:45:00	1.30006	1.30020	1.29998	1.30012	103	0	21
2020.12.01	01:00:00	1.30007	1.30019	1.29970	1.30006	373	0	2
2020.12.01	01:15:00	1.30006	1.30035	1.29998	1.30008	225	0	2
2020.12.01	01:30:00	1.30006	1.30006	1.29913	1.29913	336	0	1
2020.12.01	01:45:00	1.29915	1.29923	1.29897	1.29914	313	0	1
2020.12.01	02:00:00	1.29914	1.29921	1.29843	1.29858	490	0	0
2020.12.01	02:15:00	1.29854	1.29880	1.29817	1.29817	242	0	0
2020.12.01	02:30:00	1.29817	1.29824	1.29774	1.29783	298	0	0
2020.12.01	02:45:00	1.29783	1.29797	1.29758	1.29775	362	0	0
2020.12.01	03:00:00	1.29775	1.29808	1.29769	1.29783	543	0	0
2020.12.01	03:15:00	1.29782	1.29802	1.29761	1.29789	351	0	0
2020.12.01	03:30:00	1.29786	1.29812	1.29752	1.29798	334	0	0
2020.12.01	03:45:00	1.29798	1.29799	1.29763	1.29779	445	0	0
2020.12.01	04:00:00	1.29779	1.29788	1.29753	1.29782	513	0	1
2020.12.01	04:15:00	1.29781	1.29786	1.29757	1.29765	322	0	0
2020.12.01	04:30:00	1.29764	1.29780	1.29751	1.29772	474	0	1
2020.12.01	04:45:00	1.29772	1.29772	1.29748	1.29757	394	0	0
2020.12.01	05:00:00	1.29756	1.29762	1.29747	1.29747	273	0	0
2020.12.01	05:15:00	1.29747	1.29751	1.29713	1.29724	392	0	0
2020.12.01	05:30:00	1.29724	1.29733	1.29694	1.29703	528	0	0
2020.12.01	05:45:00	1.29703	1.29721	1.29699	1.29702	259	0	0
2020.12.01	06:00:00	1.29702	1.29704	1.29670	1.29675	327	0	0
2020.12.01	06:15:00	1.29675	1.29681	1.29651	1.29677	219	0	0
2020.12.01	06:30:00	1.29677	1.29694	1.29672	1.29684	307	0	0
2020.12.01	06:45:00	1.29684	1.29693	1.29679	1.29684	273	0	0
2020.12.01	07:00:00	1.29684	1.29700	1.29672	1.29675	374	0	1
2020.12.01	07:15:00	1.29675	1.29683	1.29654	1.29683	283	0	1
2020.12.01	07:30:00	1.29683	1.29685	1.29660	1.29672	380	0	0
2020.12.01	07:45:00	1.29672	1.29694	1.29663	1.29672	460	0	0
2020.12.01	08:00:00	1.29672	1.29686	1.29654	1.29671	370	0	0
2020.12.01	08:15:00	1.29670	1.29677	1.29652	1.29652	308	0	0
2020.12.01	08:30:00	1.29652	1.29703	1.29645	1.29703	286	0	0
2020.12.01	08:45:00	1.29703	1.29721	1.29687	1.29693	220	0	0
2020.12.01	09:00:00	1.29693	1.29695	1.29574	1.29593	556	0	0
2020.12.01	09:15:00	1.29593	1.29609	1.29561	1.29573	452	0	0
2020.12.01	09:30:00	1.29573	1.29574	1.29513	1.29517	392	0	0
2020.12.01	09:45:00	1.29517	1.29580	1.29509	1.29577	389	0	0
2020.12.01	10:00:00	1.29577	1.29636	1.29525	1.29628	829	0	0
2020.12.01	10:15:00	1.29627	1.29640	1.29556	1.29572	819	0	0
2020.12.01	10:30:00	1.29572	1.29572	1.29425	1.29443	781	0	0
2020.12.01	10:45:00	1.29443	1.29512	1.29436	1.29483	604	0	0
2020.12.01	11:00:00	1.29483	1.29559	1.29472	1.29541	647	0	0
2020.12.01	11:15:00	1.29541	1.29572	1.29518	1.29562	540	0	0
2020.12.01	11:30:00	1.29563	1.29714	1.29554	1.29679	821	0	0
2020.12.01	11:45:00	1.29679	1.29765	1.29676	1.29731	465	0	0
2020.12.01	12:00:00	1.29731	1.29790	1.29710	1.29729	507	0	0
2020.12.01	12:15:00	1.29729	1.29752	1.29691	1.29724	532	0	0
2020.12.01	12:30:00	1.29722	1.29775	1.29714	1.29756	489	0	0
2020.12.01	12:45:00	1.29756	1.29815	1.29756	1.29761	442	0	0
2020.12.01	13:00:00	1.29763	1.29801	1.29728	1.29770	529	0	0
2020.12.01	13:15:00	1.29769	1.29770	1.29705	1.29726	532	0	0
2020.12.01	13:30:00	1.29726	1.29753	1.29698	1.29709	601	0	0
2020.12.01	13:45:00	1.29710	1.29743	1.29670	1.29700	617	0	0
2020.12.01	14:00:00	1.29701	1.29720	1.29674	1.29690	581	0	0
2020.12.01	14:15:00	1.29690	1.29766	1.29690	1.29741	448	0	0
2020.12.01	14:30:00	1.29741	1.29767	1.29734	1.29749	339	0	1
2020.12.01	14:45:00	1.29749	1.29777	1.29709	1.29709	490	0	2
2020.12.01	15:00:00	1.29708	1.29714	1.29670	1.29694	544	0	2
2020.12.01	15:15:00	1.29694	1.29784	1.29677	1.29677	614	0	2
2020.12.01	15:30:00	1.29677	1.29765	1.29621	1.29670	592	0	2
2020.12.01	15:45:00	1.29670	1.29678	1.29531	1.29531	688	0	2
2020.12.01	16:00:00	1.29531	1.29624	1.29525	1.29610	654	0	3
2020.12.01	16:15:00	1.29610	1.29656	1.29602	1.29619	581	0	2
2020.12.01	16:30:00	1.29621	1.29654	1.29525	1.29606	1071	0	2
2020.12.01	16:45:00	1.29606	1.29699	1.29591	1.29652	726	0	2
2020.12.01	17:00:00	1.29651	1.29742	1.29614	1.29630	1119	0	2
2020.12.01	17:15:00	1.29627	1.29678	1.29545	1.29584	1635	0	2
2020.12.01	17:30:00	1.29584	1.29757	1.29583	1.29617	1540	0	2
2020.12.01	17:45:00	1.29617	1.29709	1.29613	1.29619	1331	0	2
2020.12.01	18:00:00	1.29618	1.29636	1.29489	1.29533	1461	0	2
2020.12.01	18:15:00	1.29532	1.29601	1.29524	1.29559	786	0	2
2020.12.01	18:30:00	1.29561	1.29563	1.29446	1.29466	1423	0	2
2020.12.01	18:45:00	1.29467	1.29585	1.29458	1.29584	862	0	2
2020.12.01	19:00:00	1.29583	1.29591	1.29523	1.29563	948	0	2
2020.12.01	19:15:00	1.29559	1.29591	1.29524	1.29534	794	0	2
2020.12.01	19:30:00	1.29534	1.29534	1.29455	1.29457	580	0	2
2020.12.01	19:45:00	1.29457	1.29458	1.29410	1.29437	708	0	2
2020.12.01	20:00:00	1.29435	1.29483	1.29390	1.29464	754	0	2
2020.12.01	20:15:00	1.29464	1.29506	1.29440	1.29476	551	0	2
2020.12.01	20:30:00	1.29475	1.29523	1.29439	1.29467	535	0	2
2020.12.01	20:45:00	1.29465	1.29481	1.29439	1.29445	609	0	2
2020.12.01	21:00:00	1.29444	1.29464	1.29399	1.29410	453	0	2
2020.12.01	21:15:00	1.29410	1.29419	1.29392	1.29403	340	0	2
2020.12.01	21:30:00	1.29403	1.29416	1.29299	1.29307	467	0	2
2020.12.01	21:45:00	1.29306	1.29382	1.29300	1.29358	701	0	2
2020.12.01	22:00:00	1.29358	1.29456	1.29339	1.29455	587	0	2
2020.12.01	22:15:00	1.29454	1.29474	1.29437	1.29448	365	0	2
2020.12.01	22:30:00	1.29448	1.29449	1.29355	1.29356	572	0	2
2020.12.01	22:45:00	1.29356	1.29382	1.29278	1.29366	911	0	2
2020.12.01	23:00:00	1.29367	1.29387	1.29339	1.29379	494	0	2
2020.12.01	23:15:00	1.29382	1.29384	1.29331	1.29331	216	0	3
2020.12.01	23:30:00	1.29331	1.29408	1.29331	1.29372	260	0	2
2020.12.01	23:45:00	1.29372	1.29412	1.29323	1.29330	551	0	2
2020.12.02	00:00:00	1.29334	1.29399	1.29310	1.29353	114	0	15
2020.12.02	00:15:00	1.29354	1.29366	1.29333	1.29342	122	0	35
2020.12.02	00:30:00	1.29336	1.29408	1.29336	1.29358	98	0	14
2020.12.02	00:45:00	1.29358	1.29365	1.29346	1.29357	105	0	26
2020.12.02	01:00:00	1.29355	1.29366	1.29335	1.29363	335	0	10
2020.12.02	01:15:00	1.29363	1.29363	1.29328	1.29340	193	0	2
2020.12.02	01:30:00	1.29339	1.29381	1.29334	1.29364	184	0	6
2020.12.02	01:45:00	1.29364	1.29365	1.29325	1.29333	199	0	5
2020.12.02	02:00:00	1.29333	1.29378	1.29332	1.29348	346	0	6
2020.12.02	02:15:00	1.29348	1.29379	1.29317	1.29360	182	0	5
2020.12.02	02:30:00	1.29355	1.29355	1.29310	1.29350	285	0	2
2020.12.02	02:45:00	1.29351	1.29370	1.29331	1.29366	387	0	2
2020.12.02	03:00:00	1.29368	1.29406	1.29360	1.29370	540	0	3
2020.12.02	03:15:00	1.29371	1.29392	1.29321	1.29388	449	0	2
2020.12.02	03:30:00	1.29388	1.29460	1.29370	1.29455	413	0	2
2020.12.02	03:45:00	1.29455	1.29495	1.29442	1.29469	466	0	2
2020.12.02	04:00:00	1.29472	1.29486	1.29444	1.29479	362	0	2
2020.12.02	04:15:00	1.29479	1.29494	1.29446	1.29456	306	0	3
2020.12.02	04:30:00	1.29456	1.29474	1.29409	1.29414	255	0	2
2020.12.02	04:45:00	1.29414	1.29469	1.29406	1.29469	255	0	2
2020.12.02	05:00:00	1.29469	1.29473	1.29422	1.29422	210	0	3
2020.12.02	05:15:00	1.29426	1.29432	1.29403	1.29406	221	0	2
2020.12.02	05:30:00	1.29408	1.29436	1.29406	1.29428	239	0	2
2020.12.02	05:45:00	1.29431	1.29434	1.29369	1.29372	218	0	4
2020.12.02	06:00:00	1.29373	1.29404	1.29373	1.29404	180	0	5
2020.12.02	06:15:00	1.29404	1.29422	1.29383	1.29420	351	0	4
2020.12.02	06:30:00	1.29420	1.29422	1.29401	1.29409	226	0	5
2020.12.02	06:45:00	1.29409	1.29428	1.29401	1.29427	194	0	3
2020.12.02	07:00:00	1.29427	1.29445	1.29427	1.29440	336	0	4
2020.12.02	07:15:00	1.29440	1.29487	1.29434	1.29471	361	0	2
2020.12.02	07:30:00	1.29473	1.29487	1.29428	1.29438	425	0	2
2020.12.02	07:45:00	1.29438	1.29464	1.29429	1.29455	420	0	3
2020.12.02	08:00:00	1.29455	1.29457	1.29408	1.29413	280	0	2
2020.12.02	08:15:00	1.29413	1.29413	1.29393	1.29394	206	0	3
2020.12.02	08:30:00	1.29394	1.29412	1.29391	1.29397	201	0	4
2020.12.02	08:45:00	1.29398	1.29446	1.29398	1.29415	273	0	2
2020.12.02	09:00:00	1.29414	1.29417	1.29295	1.29309	516	0	2
2020.12.02	09:15:00	1.29310	1.29322	1.29251	1.29273	386	0	2
2020.12.02	09:30:00	1.29273	1.29275	1.29218	1.29235	312	0	2
2020.12.02	09:45:00	1.29235	1.29304	1.29192	1.29279	843	0	2
2020.12.02	10:00:00	1.29279	1.29439	1.29279	1.29416	1160	0	2
2020.12.02	10:15:00	1.29415	1.29430	1.29328	1.29412	984	0	2
2020.12.02	10:30:00	1.29412	1.29439	1.29317	1.29319	674	0	2
2020.12.02	10:45:00	1.29319	1.29354	1.29268	1.29350	589	0	2
2020.12.02	11:00:00	1.29352	1.29353	1.29236	1.29236	584	0	2
2020.12.02	11:15:00	1.29236	1.29242	1.29161	1.29203	465	0	2
2020.12.02	11:30:00	1.29203	1.29270	1.29191	1.29221	657	0	2
2020.12.02	11:45:00	1.29221	1.29287	1.29203	1.29277	360	0	2
2020.12.02	12:00:00	1.29277	1.29340	1.29274	1.29337	632	0	2
2020.12.02	12:15:00	1.29342	1.29401	1.29312	1.29357	491	0	2
2020.12.02	12:30:00	1.29357	1.29403	1.29345	1.29395	414	0	3
2020.12.02	12:45:00	1.29394	1.29411	1.29383	1.29386	309	0	2
2020.12.02	13:00:00	1.29388	1.29413	1.29370	1.29389	552	0	2
2020.12.02	13:15:00	1.29389	1.29506	1.29388	1.29487	555	0	2
2020.12.02	13:30:00	1.29487	1.29500	1.29457	1.29467	678	0	2
2020.12.02	13:45:00	1.29467	1.29571	1.29457	1.29515	613	0	2
2020.12.02	14:00:00	1.29515	1.29586	1.29514	1.29573	979	0	2
2020.12.02	14:15:00	1.29574	1.29577	1.29477	1.29511	1016	0	2
2020.12.02	14:30:00	1.29511	1.29560	1.29498	1.29553	701	0	2
2020.12.02	14:45:00	1.29553	1.29569	1.29489	1.29529	891	0	2
2020.12.02	15:00:00	1.29529	1.29533	1.29430	1.29465	940	0	2
2020.12.02	15:15:00	1.29465	1.29512	1.29444	1.29482	1095	0	2
2020.12.02	15:30:00	1.29484	1.29492	1.29394	1.29411	939	0	2
2020.12.02	15:45:00	1.29410	1.29486	1.29350	1.29477	958	0	2
2020.12.02	16:00:00	1.29477	1.29494	1.29374	1.29392	975	0	2
2020.12.02	16:15:00	1.29391	1.29461	1.29361	1.29398	1023	0	2
2020.12.02	16:30:00	1.29398	1.29454	1.29339	1.29382	1498	0	2
2020.12.02	16:45:00	1.29382	1.29428	1.29328	1.29343	1414	0	2
2020.12.02	17:00:00	1.29343	1.29370	1.29231	1.29370	1325	0	2
2020.12.02	17:15:00	1.29370	1.29404	1.29308	1.29341	1721	0	2
2020.12.02	17:30:00	1.29344	1.29384	1.29311	1.29341	1202	0	2
2020.12.02	17:45:00	1.29341	1.29425	1.29326	1.29417	1516	0	2
2020.12.02	18:00:00	1.29417	1.29424	1.29350	1.29356	1012	0	2
2020.12.02	18:15:00	1.29359	1.29426	1.29358	1.29369	846	0	2
2020.12.02	18:30:00	1.29369	1.29379	1.29300	1.29364	763	0	2
2020.12.02	18:45:00	1.29364	1.29367	1.29338	1.29348	521	0	2
2020.12.02	19:00:00	1.29350	1.29385	1.29326	1.29356	836	0	2
2020.12.02	19:15:00	1.29353	1.29355	1.29308	1.29323	824	0	2
2020.12.02	19:30:00	1.29323	1.29373	1.29313	1.29338	758	0	2
2020.12.02	19:45:00	1.29339	1.29353	1.29304	1.29331	831	0	2
2020.12.02	20:00:00	1.29331	1.29339	1.29289	1.29298	610	0	2
2020.12.02	20:15:00	1.29297	1.29301	1.29249	1.29258	574	0	2
2020.12.02	20:30:00	1.29258	1.29293	1.29248	1.29292	611	0	2
2020.12.02	20:45:00	1.29291	1.29316	1.29247	1.29306	726	0	2
2020.12.02	21:00:00	1.29307	1.29397	1.29305	1.29395	873	0	2
2020.12.02	21:15:00	1.29395	1.29397	1.29301	1.29314	998	0	2
2020.12.02	21:30:00	1.29318	1.29335	1.29268	1.29305	953	0	2
2020.12.02	21:45:00	1.29304	1.29304	1.29214	1.29218	814	0	2
2020.12.02	22:00:00	1.29216	1.29220	1.29165	1.29169	509	0	2
2020.12.02	22:15:00	1.29169	1.29215	1.29169	1.29212	460	0	2
2020.12.02	22:30:00	1.29212	1.29235	1.29210	1.29219	493	0	2
2020.12.02	22:45:00	1.29219	1.29249	1.29184	1.29242	949	0	2
2020.12.02	23:00:00	1.29243	1.29249	1.29197	1.29198	307	0	2
2020.12.02	23:15:00	1.29198	1.29204	1.29105	1.29115	308	0	2
2020.12.02	23:30:00	1.29114	1.29142	1.29103	1.29124	301	0	2
2020.12.02	23:45:00	1.29126	1.29244	1.29123	1.29163	549	0	2
2020.12.03	00:00:00	1.29165	1.29206	1.29146	1.29176	115	0	10
2020.12.03	00:15:00	1.29178	1.29201	1.29161	1.29174	88	0	21
2020.12.03	00:30:00	1.29174	1.29207	1.29140	1.29174	151	0	19
2020.12.03	00:45:00	1.29167	1.29205	1.29155	1.29168	100	0	11
2020.12.03	01:00:00	1.29172	1.29185	1.29155	1.29177	503	0	2
2020.12.03	01:15:00	1.29178	1.29206	1.29142	1.29186	824	0	2
2020.12.03	01:30:00	1.29185	1.29186	1.29160	1.29175	253	0	3
2020.12.03	01:45:00	1.29171	1.29184	1.29167	1.29168	171	0	4
2020.12.03	02:00:00	1.29168	1.29217	1.29168	1.29179	467	0	2
2020.12.03	02:15:00	1.29178	1.29210	1.29174	1.29196	335	0	2
2020.12.03	02:30:00	1.29196	1.29226	1.29188	1.29219	223	0	2
2020.12.03	02:45:00	1.29220	1.29246	1.29209	1.29245	337	0	2
2020.12.03	03:00:00	1.29245	1.29269	1.29228	1.29254	651	0	2
2020.12.03	03:15:00	1.29254	1.29266	1.29229	1.29246	516	0	2
2020.12.03	03:30:00	1.29243	1.29282	1.29221	1.29235	597	0	2
2020.12.03	03:45:00	1.29235	1.29237	1.29189	1.29222	537	0	2
2020.12.03	04:00:00	1.29222	1.29245	1.29189	1.29218	670	0	2
2020.12.03	04:15:00	1.29217	1.29245	1.29213	1.29241	510	0	2
2020.12.03	04:30:00	1.29241	1.29248	1.29227	1.29230	356	0	2
2020.12.03	04:45:00	1.29230	1.29240	1.29220	1.29221	330	0	2
2020.12.03	05:00:00	1.29222	1.29236	1.29200	1.29203	375	0	2
2020.12.03	05:15:00	1.29201	1.29202	1.29177	1.29201	403	0	2
2020.12.03	05:30:00	1.29199	1.29206	1.29178	1.29179	164	0	2
2020.12.03	05:45:00	1.29179	1.29208	1.29173	1.29202	354	0	2
2020.12.03	06:00:00	1.29203	1.29248	1.29202	1.29240	235	0	2
2020.12.03	06:15:00	1.29240	1.29256	1.29237	1.29237	214	0	2
2020.12.03	06:30:00	1.29236	1.29271	1.29229	1.29252	418	0	2
2020.12.03	06:45:00	1.29252	1.29266	1.29250	1.29259	217	0	2
2020.12.03	07:00:00	1.29259	1.29268	1.29255	1.29257	245	0	2
2020.12.03	07:15:00	1.29257	1.29267	1.29244	1.29251	171	0	2
2020.12.03	07:30:00	1.29251	1.29259	1.29231	1.29235	311	0	2
2020.12.03	07:45:00	1.29236	1.29262	1.29235	1.29261	365	0	2
2020.12.03	08:00:00	1.29261	1.29267	1.29244	1.29253	337	0	2
2020.12.03	08:15:00	1.29253	1.29260	1.29244	1.29253	322	0	3
2020.12.03	08:30:00	1.29254	1.29297	1.29251	1.29294	314	0	2
2020.12.03	08:45:00	1.29294	1.29296	1.29267	1.29269	368	0	3
2020.12.03	09:00:00	1.29271	1.29274	1.29136	1.29185	676	0	2
2020.12.03	09:15:00	1.29184	1.29211	1.29165	1.29185	531	0	2
2020.12.03	09:30:00	1.29186	1.29207	1.29167	1.29174	505	0	2
2020.12.03	09:45:00	1.29175	1.29209	1.29167	1.29169	768	0	2
2020.12.03	10:00:00	1.29168	1.29174	1.29069	1.29085	1128	0	2
2020.12.03	10:15:00	1.29084	1.29136	1.29076	1.29105	756	0	2
